country,city,activity,season,trend_score,avg_daily_precipitation,avg_daily_temperature,avg_daily_daylight,avg_daily_wind_speed,season_duration
France,Île-de-France,hiking,spring,0.47523809523809524,3.3489132,11.440545,49785.152,20.922394,92
France,Île-de-France,museum,spring,0.34409090909090906,3.3489132,11.440545,49785.152,20.922394,92
France,Île-de-France,beach,spring,0.5354545454545455,3.3489132,11.440545,49785.152,20.922394,92
France,Île-de-France,hiking,summer,0.2695238095238095,2.776087,19.123154,55682.055,17.28032,92
France,Île-de-France,museum,summer,0.3681818181818182,2.776087,19.123154,55682.055,17.28032,92
France,Île-de-France,beach,summer,0.375,2.776087,19.123154,55682.055,17.28032,92
France,Provence-Alpes-Côte-d’Azur,hiking,spring,0.47523809523809524,4.4902177,10.621502,48887.316,17.366194,92
France,Provence-Alpes-Côte-d’Azur,museum,spring,0.34409090909090906,4.4902177,10.621502,48887.316,17.366194,92
France,Provence-Alpes-Côte-d’Azur,beach,spring,0.5354545454545455,4.4902177,10.621502,48887.316,17.366194,92
France,Provence-Alpes-Côte-d’Azur,hiking,summer,0.2695238095238095,1.3163043,22.093128,53843.652,15.797216,92
France,Provence-Alpes-Côte-d’Azur,museum,summer,0.3681818181818182,1.3163043,22.093128,53843.652,15.797216,92
France,Provence-Alpes-Côte-d’Azur,beach,summer,0.375,1.3163043,22.093128,53843.652,15.797216,92
France,Auvergne-Rhône-Alpes,hiking,spring,0.47523809523809524,5.911957,10.428099,49118.918,19.215557,92
France,Auvergne-Rhône-Alpes,museum,spring,0.34409090909090906,5.911957,10.428099,49118.918,19.215557,92
France,Auvergne-Rhône-Alpes,beach,spring,0.5354545454545455,5.911957,10.428099,49118.918,19.215557,92
France,Auvergne-Rhône-Alpes,hiking,summer,0.2695238095238095,3.553261,20.03899,54316.324,14.824581,92
France,Auvergne-Rhône-Alpes,museum,summer,0.3681818181818182,3.553261,20.03899,54316.324,14.824581,92
France,Auvergne-Rhône-Alpes,beach,summer,0.375,3.553261,20.03899,54316.324,14.824581,92
France,Occitanie,hiking,spring,0.47523809523809524,5.0989127,10.905462,48812.64,23.825853,92
France,Occitanie,museum,spring,0.34409090909090906,5.0989127,10.905462,48812.64,23.825853,92
France,Occitanie,beach,spring,0.5354545454545455,5.0989127,10.905462,48812.64,23.825853,92
France,Occitanie,hiking,summer,0.2695238095238095,2.652174,19.964432,53691.46,19.825188,92
France,Occitanie,museum,summer,0.3681818181818182,2.652174,19.964432,53691.46,19.825188,92
France,Occitanie,beach,summer,0.375,2.652174,19.964432,53691.46,19.825188,92
Spain,Catalonia,hiking,spring,0.31941176470588234,3.2326086,11.964833,48513.99,20.498507,92
Spain,Catalonia,museum,spring,0.3422222222222222,3.2326086,11.964833,48513.99,20.498507,92
Spain,Catalonia,beach,spring,0.27210526315789474,3.2326086,11.964833,48513.99,20.498507,92
Spain,Catalonia,hiking,summer,0.41133333333333333,1.6467391,22.189106,53083.598,18.153875,92
Spain,Catalonia,museum,summer,0.31529411764705884,1.6467391,22.189106,53083.598,18.153875,92
Spain,Catalonia,beach,summer,0.21526315789473685,1.6467391,22.189106,53083.598,18.153875,92
Spain,Community of Madrid,hiking,spring,0.31941176470588234,1.5554347,13.527056,48299.348,18.426863,92
Spain,Community of Madrid,museum,spring,0.3422222222222222,1.5554347,13.527056,48299.348,18.426863,92
Spain,Community of Madrid,beach,spring,0.27210526315789474,1.5554347,13.527056,48299.348,18.426863,92
Spain,Community of Madrid,hiking,summer,0.41133333333333333,0.62500006,25.753233,52647.51,17.580748,92
Spain,Community of Madrid,museum,summer,0.31529411764705884,0.62500006,25.753233,52647.51,17.580748,92
Spain,Community of Madrid,beach,summer,0.21526315789473685,0.62500006,25.753233,52647.51,17.580748,92
Spain,Andalusia,hiking,spring,0.31941176470588234,2.8967392,16.27249,47827.63,16.488989,92
Spain,Andalusia,museum,spring,0.3422222222222222,2.8967392,16.27249,47827.63,16.488989,92
Spain,Andalusia,beach,spring,0.27210526315789474,2.8967392,16.27249,47827.63,16.488989,92
Spain,Andalusia,hiking,summer,0.41133333333333333,0.43369567,26.221537,51690.906,13.684179,92
Spain,Andalusia,museum,summer,0.31529411764705884,0.43369567,26.221537,51690.906,13.684179,92
Spain,Andalusia,beach,summer,0.21526315789473685,0.43369567,26.221537,51690.906,13.684179,92
Spain,Valencian Community,hiking,spring,0.31941176470588234,0.77717394,15.542815,48168.78,19.365732,92
Spain,Valencian Community,museum,spring,0.3422222222222222,0.77717394,15.542815,48168.78,19.365732,92
Spain,Valencian Community,beach,spring,0.27210526315789474,0.77717394,15.542815,48168.78,19.365732,92
Spain,Valencian Community,hiking,summer,0.41133333333333333,0.8456521,24.129633,52382.49,16.679472,92
Spain,Valencian Community,museum,summer,0.31529411764705884,0.8456521,24.129633,52382.49,16.679472,92
Spain,Valencian Community,beach,summer,0.21526315789473685,0.8456521,24.129633,52382.49,16.679472,92
Italy,Lazio,hiking,spring,0.44833333333333336,3.6456525,15.332618,48537.184,16.33801,92
Italy,Lazio,museum,spring,0.3615,3.6456525,15.332618,48537.184,16.33801,92
Italy,Lazio,beach,spring,0.7745000000000001,3.6456525,15.332618,48537.184,16.33801,92
Italy,Lazio,hiking,summer,0.22631578947368422,0.62717384,27.126234,53130.746,17.304352,92
Italy,Lazio,museum,summer,0.2805,0.62717384,27.126234,53130.746,17.304352,92
Italy,Lazio,beach,summer,0.475,0.62717384,27.126234,53130.746,17.304352,92
Italy,Tuscany,hiking,spring,0.44833333333333336,3.2141302,14.647338,48788.023,15.124898,92
Italy,Tuscany,museum,spring,0.3615,3.2141302,14.647338,48788.023,15.124898,92
Italy,Tuscany,beach,spring,0.7745000000000001,3.2141302,14.647338,48788.023,15.124898,92
Italy,Tuscany,hiking,summer,0.22631578947368422,1.1608696,25.985086,53641.29,14.939697,92
Italy,Tuscany,museum,summer,0.2805,1.1608696,25.985086,53641.29,14.939697,92
Italy,Tuscany,beach,summer,0.475,1.1608696,25.985086,53641.29,14.939697,92
Italy,Veneto,hiking,spring,0.44833333333333336,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,museum,spring,0.3615,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,beach,spring,0.7745000000000001,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,hiking,summer,0.22631578947368422,2.8380435,24.719755,54452.164,12.177799,92
Italy,Veneto,museum,summer,0.2805,2.8380435,24.719755,54452.164,12.177799,92
Italy,Veneto,beach,summer,0.475,2.8380435,24.719755,54452.164,12.177799,92
Italy,Lombardy,hiking,spring,0.44833333333333336,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,museum,spring,0.3615,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,beach,spring,0.7745000000000001,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,hiking,summer,0.22631578947368422,4.936957,23.936354,54424.832,12.587267,92
Italy,Lombardy,museum,summer,0.2805,4.936957,23.936354,54424.832,12.587267,92
Italy,Lombardy,beach,summer,0.475,4.936957,23.936354,54424.832,12.587267,92
United Kingdom,England,hiking,spring,0.87,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,museum,spring,0.7225,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,beach,spring,0.8275,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,hiking,summer,0.8425,1.7652175,16.022778,57634.156,22.169249,92
United Kingdom,England,museum,summer,0.7425,1.7652175,16.022778,57634.156,22.169249,92
